Marina,Miasteczkowy pijak,Lokalne tajne stowarzyszenie,Nadchodząca kometa,Grasuje podglądacz,Trójkąt miłosny,Szeryf,Nie umiem zarabiać,Medycyna tradycyjna,Łatwo mnie obrazić,Posiadam jedno wielkie przedsiębiorstwo,Ciągle dostrzegam znaki,Mam zespół podwładnych,Mam wadę wymowy,Wędruję na długich dystansach,Mam wygląd z Innsmouth,Moja pomocna matka,Jestem twardy jak stal,Przyjmę każde wyzwanie
Latarnia morska,Duch miasteczka,Lokalna religia,Nadciągająca gwałtowna nawałnica,Ten nowy jest na ucieczce,Walczymy o tę samą posadę,Tajniak,Jestem bezdomny,Magia,Posuwam zemstę za daleko,Opłaciłem bibliotekę miejską,Słyszę głosy,Piastuję wysoką rangę,Miałem już kilka wstrząśnień mózgu,Tresuję psy,Mam straszne alergie,Moje uwielbiające mnie młodsze rodzeństwo,Nigdy się nie męczę,Zawsze bronię swojego honoru
Wieża ciśnień,Lokalna celebrytka lub lokalny celebryta,Lokalne świry,Pogoda,"Ktoś w ogóle sprawdzał, co u Zenka?",Próbujemy kupić ten sam dom,Naczelnik więzienia,Obrabowałem kogoś,Czarownictwo,"Czuję, że wszystko mi się należy",Opłaciłem stanowisko na uniwersytecie,Nie dostrzegam rzeczy oczywistych,Zdobywam dobrą reputację,Trzęsą mi się ręce,Jeżdżę konno,Nie mogę długo wytrzymać na słońcu,Moje ukochane starsze rodzeństwo,Biegam jak wiatr,Traktuję wszystkich równo
Muzeum sztuki,Dozorca terenów uniwersyteckich,Izba handlowa,Konkretny sport,Rybacy zamieniają się w potwory,Rodzeństwo,Dyletant,Jestem w ucieczce,Rzadkie książki,Mam zakaz wstępu do biblioteki,Przekupiłem mnóstwo ludzi,"Ja ich nie lubię, ale oni mnie kochają",Spędziłem mnóstwo czasu na strzelnicy,Nigdy nie doczekałem się domknięcia,Mam same szóstki,Mam mroczny sekret,"Stali bywalcy mojego baru, którzy wszystko obgadują",Jestem najlepszym rozgrywającym w stanie,Nikt nie odważyłby się mnie tknąć
Muzeum historii naturalnej,Strażnik latarni,Wielki biznes,Drobne lokalne rozgrywki polityczne,Z rolnikiem dzieje się coś dziwnego,"Ciocia albo wujek oraz siostrzenica, siostrzeniec, bratanica lub bratanek",Filozof,Podpalenie dla odszkodowania,Antyki,Mam zakaz wstępu do baru,Zawsze mam przy sobie gotówkę,Mam hejtera,Często jeżdżę na biwaki,Nie radzę sobie ze stratą,Jestem pisarzem,Po prostu wyglądam upiornie,Moi opłacani pracownicy,Jestem wyborowym strzelcem,Jestem skryty
Muzeum historii miasteczka,Najbogatszy człowiek w miasteczku,"Bogacz, który się tu sprowadził",Najbliższe duże miasto,Studnia miejska dziwnie śmierdzi,Rodzic i dziecko,Szef kuchni,Policjant ma do mnie urazę,Samochody,Policja mnie nienawidzi,Ludzie są mi winni drobne przysługi,Mój rywal naprawdę mnie nie znosi,Coraz lepiej radzę sobie na szlaku,Dźwigam traumę,Kiedyś byłem strasznym nerdem,Ludzie mi nie ufają,Moi współwolontariusze,Potrafię złapać strzałę w locie,Mówię o sobie za dużo
Uniwersytet,Lekarz,Tych dwoje palantów,Jeszcze mniejsze miasto-siostra,Ryby mają dodatkowe oczy,Powinowaci,Artysta,Zostałem wrobiony,Broń palna,Burmistrz mnie nienawidzi,Jedna osoba jest mi winna wielką przysługę,"Ktoś udaje, że mnie kocha",Jestem ekspertem od bezdroży,Zakładam fałszywą maskę,Byłem cudownym dzieckiem,Dziwnie się zachowuję przy obcych,Mój bystry klub książki,Moje wojenne zasługi,Zawsze to ja tu rządzę
Rynek,Sławna pisarka lub sławny pisarz,Najobrzydliwsza rodzina na świecie,Turystyka,Coś jest w jeziorze,Z rywalizujących rodów,Biznesmen,Pomagałem ludziom oszukiwać,Aparaty,Dzieciaki z miasteczka mnie nienawidzą,Moi przyjaciele nigdy nie muszą płacić,Jestem gnębiony,Jestem świetnym hakerem,Straciłem ważną pozycję,Kiedyś byłem księdzem,Jedna osoba żywi do mnie ogromną urazę,Mój klub historyczny pełen wiedzy,Mój złoty medal olimpijski,Jestem impulsywny
Dom modlitwy,Znana profesorka lub znany profesor,Naciągacze,Regaty,Ktoś jest w lesie,Bliźnięta,Przemysłowiec,Oszukiwałem,Noże,Zazdrośnicy mnie nienawidzą,Nigdy nie kończą mi się pieniądze,Mój przyjaciel mnie zdradził,Nigdy się nie gubię,Straciłem kończynę,Kiedyś byłem marynarzem,Wkurzyłem całą grupę ludzi,Moja niezawodna liga bowlingowa,Mam żołądek ze stali,Zawsze wszystko dokładnie przemyślam
Jedyny bar mleczny w miasteczku,Bibliotekarka lub bibliotekarz,Lokalny zespół,Lęk przed przestępczością,W barze mlecznym sprzedają ludzkie mięso,Kochankowie,Robotnik budowlany,Jestem w mafii,Jiu-jitsu,Ktoś żywi do mnie urazę,Rodzinny miecz,"Ktoś widział, jak popełniam przestępstwo",Pnę się w górę towarzysko,Jestem winien komuś poważną przysługę,Mam zdolności psychometryczne,Zbyt szybko ufam,Moi spostrzegawczy sąsiedzi,Mam wielki urok osobisty,Mam niezwykłe szczęście
Obskurny bar,Dzielnicowy,Lokalna drużyna sportowa,Reputacja miasteczka,W bibliotece jest księga zaklęć,Rywale,Sportowiec,Jestem już poza mafią,Szermierka,Mój były partner pała żądzą zemsty,Mam kolekcję broni robionej na zamówienie,Ktoś mnie prześladuje,Zasiadam w radzie,Narobiłem sobie wielu drobnych wrogów,Widzę zmarłych,Ludzie nie traktują mnie poważnie,Mój kochający partner,Jestem bardzo przystojny,Uwielbiam rozmawiać z ludźmi
Pole namiotowe,Reporterka lub reporter,Cyrk,Lokalna instytucja,Kawiarnia jest przykrywką,Przyjaciele,Strażak,Dołączyłem do gangu,Boks,Mam blizny po oparzeniach,Trzymam doskonale zaopatrzoną zbrojownię,Mafia depcze mi po piętach,Jestem lokalną gwiazdą,Narobiłem sobie jednego wielkiego wroga,Umiem wróżyć,Jestem dyskryminowany,Moje ukochane dziecko,Jestem świetnym aktorem,Łatwo zaprzyjaźniam się z ludźmi
Objazdowe kino plenerowe,"Typ, który łazi za ludźmi",Nowa ekipa filmowa,Czystość,Miasteczko ma ukrytą historię,Najlepsi przyjaciele,Żołnierz,Trzymam się złego towarzystwa,Wyścigi,Mam niesprawną nogę,Kolekcjonuję dziwne antyki,Konkurencyjny gang depcze mi po piętach,Mam grono fanów,Wziąłem winę za kogoś innego,Prowadzę seanse spirytystyczne,Nie mówię w miejscowym języku,Mój kuzyn robiący kłopoty,Mam głos jak anioł,Ufam wszystkim
Biblioteka,Prywatny detektyw,Zespół przyjezdny,Lokalny biznes,Pod ziemią są tunele,Małżeństwo,Marynarz,Moja rodzina to przestępcy,Prawdziwe zbrodnie,Brakuje mi dłoni,Kolekcjonuję osobliwe bibeloty,Mój dawny gang depcze mi po piętach,Zawsze mogę poprosić o przysługę,Nie mogę znieść widoku krwi,Miewam wizje,Łatwo się męczę,"Mój przyjaciel, który zawsze jest na wszystko chętny",Mam ujmujący uśmiech,Nie ufam nikomu
Teatrzyk,Komendant policji,Turyści,Przyjezdni,W kanałach żyje jakieś stworzenie,Byli partnerzy,Zabójca,Wynająłem paru niebezpiecznych typów,Łowiectwo,Brakuje mi oka,Mam zabytkową broń i zbroje,Policja mnie ściga,Ludzie w miasteczku mnie znają,Łatwo wymiotuję,Umiem naśladować głosy,Nie potrafię usiedzieć w miejscu,"Mój przyjaciel, który zawsze zachowuje ostrożność",Mój szczenięcy wzrok,Nie szanuję granic
Punkt na całowanie,„Twardziel”,Rybacy,Zachowywanie dawnych zwyczajów,W kamieniołomie będzie impreza,Jesteśmy do siebie uderzająco podobni,Szaman,Jestem łatwowierny,Astronomia,Rzuciłem klątwę i odbiło się to na mnie,Mam tę dziwną księgę,Agorafobia,Uczę się nowej umiejętności,Często źle zaczynam z ludźmi,Tak naprawdę jestem empatyczny,Nigdy nie nauczyłem się prowadzić,"Mój terapeuta, który mi wierzy",Jestem mistrzem darta w barze,Szanuję autorytety
Centrum handlowe,Miasteczkowa plotkara lub miasteczkowy plotkarz,Browar,Film nakręcony tu wieki temu,Ktoś zwiał z miasta,Wspólnie piszemy książkę,Adept sztuk walki,Ktoś rzucił na mnie klątwę,Współczesna medycyna,Ktoś rzucił na mnie klątwę,Kolekcjonuję osobliwą sztukę,Klaustrofobia,Potrafię nie spać całymi dniami,Mam oczywiste uzależnienie,Mam oczy dookoła głowy,Potrzebuję sprzętu wspomagającego,Mój wybaczający ksiądz,Jestem kapitanem drużyny szachowej,Nie szanuję autorytetów
Kawiarnia,Gwiazda sportu,„Zła” dzielnica,"Film, który właśnie tu kręcą",Dziwna kołysanka,Należymy do tej samej religii,Medium,Poczucie winy mnie zżera,Archeologia,Ciąży nade mną zły los,Mam świetne zabawki,Lęk przed lekarzami,Umiem onieśmielać,Na pewno nie mam uzależnienia,Dostrzegam drobne szczegóły,Nie umiem czytać,"Mój barman, który umie słuchać",Jestem prymusem,Nie odpowiadam na pytania
Główna ulica,Oszustka lub oszust,Dokerzy,Plotki,Nowa gra robi furorę,Należymy do tego samego gangu,Wiedźma,Nie mam sumienia,Antropologia,Mam pecha,Mam prywatnego ochroniarza,Lęk przed książkami,Jestem piekielnie atrakcyjny,Nie umiem się powstrzymać,Zawsze wyłapuję wzorce,Nie umiem pływać,Mój mądry bibliotekarz,Jestem świetnym ogrodnikiem,Zadaję mnóstwo pytań
Nadrzeczna promenada,Żebrak,Robotnicy sezonowi,Jakaś nowa społeczna moda,Nowy narkotyk uzależnia ludzi,Mieszkamy po sąsiedzku,Instruktorka jogi,Boję się porażki,Współczesne języki,Ciągną się za mną złe znaki,Mam niesamowitą biżuterię,Lęk przed krwią,Moje zbiory będą świetne,Boję się zaczynać,Mam pamięć ejdetyczną,Fatalnie biegam,Mój wścibski sąsiad,Czytam kilka książek tygodniowo,Jestem bardzo rozmowny
Sklep z antykami,Radiowy DJ,Rolnicy,Imprezy,Ludzie znikają,Gramy w tej samej drużynie sportowej,Tancerz,Sam sobie szkodzę,Entomologia,Źle odczytuję sytuacje,Mam po trochu wszystkiego,Żyję w strachu przed tą osobą,Moje zwierzę to czempion,Mylnie interpretuję sytuacje,Mam słuch absolutny,Łatwo padam z wyczerpania,Mój dealer,Moja kolekcja znaczków,Nienawidzę rozmawiać
Klify,Prześladowca,Osoby w kryzysie bezdomności,Konkretny styl muzyki,Zbiory będą w tym roku marne,Padamy ofiarą tych samych uprzedzeń,Opiekun kolonijny,Zniszczyłem interes rywala,Horrory,"Oszukiwałem, żeby zajść tak daleko",Ubieram się nienagannie,Zbyt duża pewność siebie,Jestem mistrzem kierownicy,Jestem wilkołakiem,Jestem mocno zaangażowany w subkulturę,Łatwo choruję,Moi rodzice są bogaci,Lubię pomagać ludziom,Pycha
Wisielcze drzewo,Naukowczyni lub naukowiec,Osiedle hipisów,Nowy taniec,Zaginęło kilkoro dzieci,Przetrwaliśmy tę samą tragedię,Pilot,Ukradłem czyjś wynalazek,Prawo,Pomogłem zatuszować zbrodnię,Mam pick-upa,Zbyt mała pewność siebie,Umiem nurkować z akwalungiem,Nabrałem smaku do krwi,Mam znajomych na wysokich stanowiskach,Słabo trzymam alkohol,Mój tata jest szeryfem,Zauważam różne rzeczy,Jestem ekstrawertykiem
Jałowe pustkowia,Wyrzutek,Imigranci,Forma sztuki,Jakieś święto może zostać odwołane,Kiedyś należeliśmy do tego samego kultu,Właściciel stacji benzynowej,Sprzeniewierzyłem pieniądze z pracy,Rzeźnictwo,Jestem winien wielką przysługę,Mam sportowy samochód,Lękliwość,Umiem pilotować samolot,Muszę jeść... coś,Mam znajomych na samym dole drabiny,Mam słaby wzrok,Moja mama jest burmistrzynią,Podsłuchuję różne rzeczy,Jestem introwertykiem
Bagno,Przywódczyni lub przywódca kultu,Krzykliwi nowobogaccy,Wygranie konkursu,Była groźba podłożenia bomby!,Kiedyś należeliśmy do tego samego gangu,Żebrak,Groziłem rywalowi,Gotowanie,Jestem winien mnóstwo drobnych przysług,Mam drona,Samochwalca,Umiem pilotować śmigłowiec,Mam dziwne pragnienia,Jestem celebrytą incognito,Słabo słyszę,Mój wujek jest dziekanem,Mam dobrą reputację,Kocham przemoc
Lasy,Ostatnia żyjąca hipiska lub ostatni żyjący hipis,Lokalny gang,Morderstwa sprzed 40 lat,Wielki mecz jest ustawiony,Mamy tego samego wroga,Taksówkarz,Zabiłem rywala,"Życie z tego, co da ziemia",Mam uzależnienie,Mam znakomity aparat,Konfrontacyjny charakter,Umiem jeździć na rowerze,Mam nietypowe uzależnienie,Kiedyś byłem sławny,Mam szumy uszne,Moja ciotka ma lokalną firmę,Ludzie mi ufają,Ludzie mi współczują
Pustynia,Projektant gier,Awanturujący się pijacy,Nic. Jest tu śmiertelnie nudno,Wkrótce wypuszczą mordercę,Mamy tego samego patrona,Aktor,Zawsze kłamię,Parkour,"Nie umiem się powstrzymać, kiedy jestem wściekły",Mam mnóstwo sprzętu,Ciekawość to pierwszy stopień do piekła,Umiem jeździć na motocyklu,Nie potrafię ustać w miejscu,Ludzie zapominają moją twarz,Nie mam węchu,Mój kuzyn przestępca,Ludzie instynktownie mnie lubią,Rozwiązuję problemy wszystkich
