Stary jaz;Lekarz z przychodni, przyjmujący prywatnie po godzinach;Byli funkcjonariusze SB, którzy tu zostali;Serial, który wszyscy oglądają;Woda w kranach ma od miesiąca dziwny zapach;Trójkąt miłosny;Szeryf;Nie umiem zarabiać;Medycyna tradycyjna;Łatwo mnie obrazić;Posiadam jedno wielkie przedsiębiorstwo;Ciągle dostrzegam znaki;Mam zespół podwładnych;Mam wadę wymowy;Wędruję na długich dystansach;Mam wygląd z Innsmouth;Moja pomocna matka;Jestem twardy jak stal;Przyjmę każde wyzwanie
Ośrodek wczasowy;Dyrektorka liceum;Konkurencyjne liceum;Zdrapki i loteria;Na kasecie z wypożyczalni jest nagrane coś jeszcze;Walczymy o tę samą posadę;Tajniak;Jestem bezdomny;Magia;Posuwam zemstę za daleko;Opłaciłem bibliotekę miejską;Słyszę głosy;Piastuję wysoką rangę;Miałem już kilka wstrząśnień mózgu;Tresuję psy;Mam straszne alergie;Moje uwielbiające mnie młodsze rodzeństwo;Nigdy się nie męczę;Zawsze bronię swojego honoru
Wysypisko;Herszt osiedlowej bandy;Kibice drużyny z sąsiedniego miasta;Fundusz obiecujący 300 procent;Dzieciaki wchodzą do bunkrów i jedno nie wróciło;Próbujemy kupić ten sam dom;Naczelnik więzienia;Obrabowałem kogoś;Czarownictwo;Czuję, że wszystko mi się należy;Opłaciłem stanowisko na uniwersytecie;Nie dostrzegam rzeczy oczywistych;Zdobywam dobrą reputację;Trzęsą mi się ręce;Jeżdżę konno;Nie mogę długo wytrzymać na słońcu;Moje ukochane starsze rodzeństwo;Biegam jak wiatr;Traktuję wszystkich równo
Kościół;Taksówkarz;Sekta, która wynajęła świetlicę;Zbiórka na sprzęt do szpitala;Ten sklep to przykrywka;Rodzeństwo;Dyletant;Jestem w ucieczce;Rzadkie książki;Mam zakaz wstępu do biblioteki;Przekupiłem mnóstwo ludzi;Ja ich nie lubię, ale oni mnie kochają;Spędziłem mnóstwo czasu na strzelnicy;Nigdy nie doczekałem się domknięcia;Mam same szóstki;Mam mroczny sekret;Stali bywalcy mojego baru, którzy wszystko obgadują;Jestem najlepszym rozgrywającym w stanie;Nikt nie odważyłby się mnie tknąć
Dom kultury;Właściciel komisu samochodowego;Kaznodzieje chodzący po blokach;Zawody strażackie;Pod miastem są tunele z czasów wojny;Ciocia albo wujek oraz siostrzenica, siostrzeniec, bratanica lub bratanek;Filozof;Podpalenie dla odszkodowania;Antyki;Mam zakaz wstępu do baru;Zawsze mam przy sobie gotówkę;Mam hejtera;Często jeżdżę na biwaki;Nie radzę sobie ze stratą;Jestem pisarzem;Po prostu wyglądam upiornie;Moi opłacani pracownicy;Jestem wyborowym strzelcem;Jestem skryty
Jedyne w mieście liceum;Prezes klubu piłkarskiego z ligi okręgowej;Akwizytorzy i naciągacze;Nowa dyskoteka;W lesie ktoś mieszka;Rodzic i dziecko;Szef kuchni;Policjant ma do mnie urazę;Samochody;Policja mnie nienawidzi;Ludzie są mi winni drobne przysługi;Mój rywal naprawdę mnie nie znosi;Coraz lepiej radzę sobie na szlaku;Dźwigam traumę;Kiedyś byłem strasznym nerdem;Ludzie mi nie ufają;Moi współwolontariusze;Potrafię złapać strzałę w locie;Mówię o sobie za dużo
Szpital powiatowy;Wróżka przyjmująca w bloku;Komornik i urząd skarbowy;Kto z kim sypia;Radio łapie w nocy stację, której nie ma;Powinowaci;Artysta;Zostałem wrobiony;Broń palna;Burmistrz mnie nienawidzi;Jedna osoba jest mi winna wielką przysługę;Ktoś udaje, że mnie kocha;Jestem ekspertem od bezdroży;Zakładam fałszywą maskę;Byłem cudownym dzieckiem;Dziwnie się zachowuję przy obcych;Mój bystry klub książki;Moje wojenne zasługi;Zawsze to ja tu rządzę
Komisariat;Były milicjant, teraz szef ochrony;Zagraniczny inwestor, który kupił zakład;Historia miasta przed wojną;Poprzedni właściciel dworku nie umarł sam z siebie;Z rywalizujących rodów;Biznesmen;Pomagałem ludziom oszukiwać;Aparaty;Dzieciaki z miasteczka mnie nienawidzą;Moi przyjaciele nigdy nie muszą płacić;Jestem gnębiony;Jestem świetnym hakerem;Straciłem ważną pozycję;Kiedyś byłem księdzem;Jedna osoba żywi do mnie ogromną urazę;Mój klub historyczny pełen wiedzy;Mój złoty medal olimpijski;Jestem impulsywny
Pomnik;Burmistrz z pierwszej wolnej kadencji;Niemcy przyjeżdżający po majątki;Przestępczość i to, że kiedyś było bezpiecznie;Ktoś podpala stodoły;Bliźnięta;Przemysłowiec;Oszukiwałem;Noże;Zazdrośnicy mnie nienawidzą;Nigdy nie kończą mi się pieniądze;Mój przyjaciel mnie zdradził;Nigdy się nie gubię;Straciłem kończynę;Kiedyś byłem marynarzem;Wkurzyłem całą grupę ludzi;Moja niezawodna liga bowlingowa;Mam żołądek ze stali;Zawsze wszystko dokładnie przemyślam
Bazar;Didżej z lokalnego radia;Warszawiacy;Rekordy w salonie gier;W szpitalu na jednym piętrze nie ma pacjentów;Kochankowie;Robotnik budowlany;Jestem w mafii;Jiu-jitsu;Ktoś żywi do mnie urazę;Rodzinny miecz;Ktoś widział, jak popełniam przestępstwo;Pnę się w górę towarzysko;Jestem winien komuś poważną przysługę;Mam zdolności psychometryczne;Zbyt szybko ufam;Moi spostrzegawczy sąsiedzi;Mam wielki urok osobisty;Mam niezwykłe szczęście
Wypożyczalnia kaset wideo;Handlarz sprowadzający towar z Turcji;Letnicy z ośrodka wczasowego;Wszystko, co przyszło z Zachodu;Milicjant, który prowadził tę sprawę, nie żyje;Rywale;Sportowiec;Jestem już poza mafią;Szermierka;Mój były partner pała żądzą zemsty;Mam kolekcję broni robionej na zamówienie;Ktoś mnie prześladuje;Zasiadam w radzie;Narobiłem sobie wielu drobnych wrogów;Widzę zmarłych;Ludzie nie traktują mnie poważnie;Mój kochający partner;Jestem bardzo przystojny;Uwielbiam rozmawiać z ludźmi
Salon gier;Pijak spod sklepu;Chłopcy na haraczu z dużego miasta;Sprowadzane auta;Białym busem wożą dzieci za granicę;Przyjaciele;Strażak;Dołączyłem do gangu;Boks;Mam blizny po oparzeniach;Trzymam doskonale zaopatrzoną zbrojownię;Mafia depcze mi po piętach;Jestem lokalną gwiazdą;Narobiłem sobie jednego wielkiego wroga;Umiem wróżyć;Jestem dyskryminowany;Moje ukochane dziecko;Jestem świetnym aktorem;Łatwo zaprzyjaźniam się z ludźmi
Pierwszy market;Chłopak, który wyjechał do Ameryki i wrócił;Nowy proboszcz;Polityka w Warszawie;Nauczyciel z liceum ma teczkę;Najlepsi przyjaciele;Żołnierz;Trzymam się złego towarzystwa;Wyścigi;Mam niesprawną nogę;Kolekcjonuję dziwne antyki;Konkurencyjny gang depcze mi po piętach;Mam grono fanów;Wziąłem winę za kogoś innego;Prowadzę seanse spirytystyczne;Nie mówię w miejscowym języku;Mój kuzyn robiący kłopoty;Mam głos jak anioł;Ufam wszystkim
Dyskoteka;Nauczyciel WF-u;Nauczyciele, którzy donosili w latach 80.;Miejscowy, który wystąpił w telewizji;W jeziorze zatopiono samochód z kimś w środku;Małżeństwo;Marynarz;Moja rodzina to przestępcy;Prawdziwe zbrodnie;Brakuje mi dłoni;Kolekcjonuję osobliwe bibeloty;Mój dawny gang depcze mi po piętach;Zawsze mogę poprosić o przysługę;Nie mogę znieść widoku krwi;Miewam wizje;Łatwo się męczę;Mój przyjaciel, który zawsze jest na wszystko chętny;Mam ujmujący uśmiech;Nie ufam nikomu
Bar mleczny;Wdowa;Metalowcy i punki spod domu kultury;Dziewczyna, która zaginęła kilka lat temu;Na cmentarzu ktoś kopie w nocy;Byli partnerzy;Zabójca;Wynająłem paru niebezpiecznych typów;Łowiectwo;Brakuje mi oka;Mam zabytkową broń i zbroje;Policja mnie ściga;Ludzie w miasteczku mnie znają;Łatwo wymiotuję;Umiem naśladować głosy;Nie potrafię usiedzieć w miejscu;Mój przyjaciel, który zawsze zachowuje ostrożność;Mój szczenięcy wzrok;Nie szanuję granic
Trzepak i piaskownica między blokami;Właściciel salonu gier;Żołnierze z jednostki pod miastem;Wypadek na przejeździe kolejowym;Zakład truł rzekę i wszyscy o tym wiedzieli;Jesteśmy do siebie uderzająco podobni;Szaman;Jestem łatwowierny;Astronomia;Rzuciłem klątwę i odbiło się to na mnie;Mam tę dziwną księgę;Agorafobia;Uczę się nowej umiejętności;Często źle zaczynam z ludźmi;Tak naprawdę jestem empatyczny;Nigdy nie nauczyłem się prowadzić;Mój terapeuta, który mi wierzy;Jestem mistrzem darta w barze;Szanuję autorytety
Blaszane garaże;Niemiec, który przyjechał odzyskać majątek dziadka;Rolnicy blokujący drogę;Co nowy market zrobi ze sklepami;Chłopak, który wrócił z Ameryki, nigdy tam nie był;Wspólnie piszemy książkę;Adept sztuk walki;Ktoś rzucił na mnie klątwę;Współczesna medycyna;Ktoś rzucił na mnie klątwę;Kolekcjonuję osobliwą sztukę;Klaustrofobia;Potrafię nie spać całymi dniami;Mam oczywiste uzależnienie;Mam oczy dookoła głowy;Potrzebuję sprzętu wspomagającego;Mój wybaczający ksiądz;Jestem kapitanem drużyny szachowej;Nie szanuję autorytetów
Sklep spożywczy z okienkiem na piwo;Listonosz;Ci, co przepili odprawy;Wykup mieszkań zakładowych;Ogłoszenia o pracy za granicą to pułapka;Należymy do tej samej religii;Medium;Poczucie winy mnie zżera;Archeologia;Ciąży nade mną zły los;Mam świetne zabawki;Lęk przed lekarzami;Umiem onieśmielać;Na pewno nie mam uzależnienia;Dostrzegam drobne szczegóły;Nie umiem czytać;Mój barman, który umie słuchać;Jestem prymusem;Nie odpowiadam na pytania
Kiosk Ruchu;Dziennikarz gazety lokalnej;Ludzie, którzy dostali mieszkania po znajomości;Papież;W pawilonie słychać coś zza ściany;Należymy do tego samego gangu;Wiedźma;Nie mam sumienia;Antropologia;Mam pecha;Mam prywatnego ochroniarza;Lęk przed książkami;Jestem piekielnie atrakcyjny;Nie umiem się powstrzymać;Zawsze wyłapuję wzorce;Nie umiem pływać;Mój mądry bibliotekarz;Jestem świetnym ogrodnikiem;Zadaję mnóstwo pytań
Nieczynna fontanna;Kobieta z biura, które załatwia wszystko;Prywaciarze, którzy podnieśli ceny;Wybory miss;Pod szkołą rozdają nowy narkotyk;Mieszkamy po sąsiedzku;Instruktorka jogi;Boję się porażki;Współczesne języki;Ciągną się za mną złe znaki;Mam niesamowitą biżuterię;Lęk przed krwią;Moje zbiory będą świetne;Boję się zaczynać;Mam pamięć ejdetyczną;Fatalnie biegam;Mój wścibski sąsiad;Czytam kilka książek tygodniowo;Jestem bardzo rozmowny
Pawilon handlowy;Weterynarz jeżdżący po wsiach;Ochrona z nowego marketu;Wojna gangów w dużym mieście;W opuszczonym ośrodku ktoś się zbiera;Gramy w tej samej drużynie sportowej;Tancerz;Sam sobie szkodzę;Entomologia;Źle odczytuję sytuacje;Mam po trochu wszystkiego;Żyję w strachu przed tą osobą;Moje zwierzę to czempion;Mylnie interpretuję sytuacje;Mam słuch absolutny;Łatwo padam z wyczerpania;Mój dealer;Moja kolekcja znaczków;Nienawidzę rozmawiać
Opuszczone koszary;Fotograf od zdjęć do dowodu i na wesela;Uzdrowiciele i wróżki;Nauka angielskiego;Krzyż przy drodze stoi nie dla tego, o kim mówią;Padamy ofiarą tych samych uprzedzeń;Opiekun kolonijny;Zniszczyłem interes rywala;Horrory;Oszukiwałem, żeby zajść tak daleko;Ubieram się nienagannie;Zbyt duża pewność siebie;Jestem mistrzem kierownicy;Jestem wilkołakiem;Jestem mocno zaangażowany w subkulturę;Łatwo choruję;Moi rodzice są bogaci;Lubię pomagać ludziom;Pycha
Bunkry w lesie;Katechetka z podstawówki;Ekipa, która nakręciła tu reportaż;Kto ma antenę satelitarną;Automat w salonie gier po północy robi dziwne rzeczy;Przetrwaliśmy tę samą tragedię;Pilot;Ukradłem czyjś wynalazek;Prawo;Pomogłem zatuszować zbrodnię;Mam pick-upa;Zbyt mała pewność siebie;Umiem nurkować z akwalungiem;Nabrałem smaku do krwi;Mam znajomych na wysokich stanowiskach;Słabo trzymam alkohol;Mój tata jest szeryfem;Zauważam różne rzeczy;Jestem ekstrawertykiem
Leśniczówka;Naczelnik OSP;Straż miejska;Coroczna pielgrzymka;Na bocznicy zniknął cały transport;Kiedyś należeliśmy do tego samego kultu;Właściciel stacji benzynowej;Sprzeniewierzyłem pieniądze z pracy;Rzeźnictwo;Jestem winien wielką przysługę;Mam sportowy samochód;Lękliwość;Umiem pilotować samolot;Muszę jeść... coś;Mam znajomych na samym dole drabiny;Mam słaby wzrok;Moja mama jest burmistrzynią;Podsłuchuję różne rzeczy;Jestem introwertykiem
Stary cmentarz;Akwizytor sprzedający encyklopedie i garnki;Lokatorzy bloku socjalnego;Kto wywozi drewno z lasu;Weterynarz widział zwierzę, którego nie umiał nazwać;Kiedyś należeliśmy do tego samego gangu;Żebrak;Groziłem rywalowi;Gotowanie;Jestem winien mnóstwo drobnych przysług;Mam drona;Samochwalca;Umiem pilotować śmigłowiec;Mam dziwne pragnienia;Jestem celebrytą incognito;Słabo słyszę;Mój wujek jest dziekanem;Mam dobrą reputację;Kocham przemoc
Krzyż przy drodze;Chłopak, który nagrywa wszystkim składanki;Skinheadzi z centrum;Stan wody na rzece;Mecz był ustawiony;Mamy tego samego wroga;Taksówkarz;Zabiłem rywala;Życie z tego, co da ziemia;Mam uzależnienie;Mam znakomity aparat;Konfrontacyjny charakter;Umiem jeździć na rowerze;Mam nietypowe uzależnienie;Kiedyś byłem sławny;Mam szumy uszne;Moja ciotka ma lokalną firmę;Ludzie mi ufają;Ludzie mi współczują
Dworek;Przedstawiciel funduszu z gwarantowanym zyskiem;Całe sąsiednie miasteczko;Nic. Tu się nic nie dzieje;Zbiórka na kościół nie idzie na kościół;Mamy tego samego patrona;Aktor;Zawsze kłamię;Parkour;Nie umiem się powstrzymać, kiedy jestem wściekły;Mam mnóstwo sprzętu;Ciekawość to pierwszy stopień do piekła;Umiem jeździć na motocyklu;Nie potrafię ustać w miejscu;Ludzie zapominają moją twarz;Nie mam węchu;Mój kuzyn przestępca;Ludzie instynktownie mnie lubią;Rozwiązuję problemy wszystkich
