NamePL,NameEN,DescPL,DescEN,Source,Level
Wędrowiec,Rover,"Biegnąc przez pustkowie, nie pozostawiasz wyraźnych śladów ani tropu.","When you run through the wilderness, you do so without leaving obvious tracks or a trail.",AWoD,1
Marynarz,Sailor,Potrafisz obsługiwać żaglowiec i nie cierpisz na chorobę morską nawet w burzę.,"You can crew a sailing vessel, and never feel ill due to stormy seas.",AWoD,1
Saper,Sapper,"Używając prochu czarnego lub artylerii, dodajesz +1 kość do obrażeń i odrzucasz najniższy wynik.","When using blackpowder explosives or artillery, add +1 die to damage, discarding the lowest result.",AWoD,1
Intrygant,Schemer,"Gdy przekupujesz lub szantażujesz innych, możesz to robić dyskretnie lub przez pośredników, nie przyciągając niepotrzebnej uwagi.","When you bribe or blackmail others, you can do so subtly or through third parties, without drawing too much unwanted attention to yourself.",AWoD,1
Zwiad,Scout,"Gdy prowadzisz na pustkowiu, zawsze dostrzegasz cel przed tym, nim cel dostrzeże ciebie.","When you take the lead in the wilderness, you always spot your targets before they spot you.",AWoD,1
Przemiana,Shifting,"Gdy wypijesz krew zwierzęcia, możesz próbować przybrać jego postać, zostawiając za sobą swój dobytek. Jednak powrót do własnego kształtu wymaga silnej woli — tym bardziej, im dłużej pozostajesz bestią.","When drinking the blood of an animal you can attempt to take its form, leaving your possessions behind. However, it is a feat of willpower to revert to your original self, particularly the longer you stay a beast.",AWoD,1
Potyczka,Skirmish,"+1 obrażeń, a noszona zbroja liczy się jako jeden stopień lżejsza.",+1 damage and worn armor counts as one type lighter.,AWoD,1
Zabójca,Slay,+2 obrażeń w walce wręcz.,+2 melee damage.,AWoD,1
Detektyw,Sleuth,"Gdy szukasz śladów, robisz to szybko i w ruchu. Zawsze wiesz, gdy ktoś kłamie, choć możesz nie znać przyczyny oszustwa.","When you search for clues, you can do so quickly and while on the move. You can always tell when someone is lying, though you may not know the cause of their deception.",AWoD,1
Czarodziejstwo,Sorcery,"Możesz rzucać zaklęcia, które — choć ograniczone w zakresie — są znacznie bezpieczniejsze niż surowa moc Czarnoksięstwa. Zaczynasz z trzema zaklęciami.","You are able to cast spells that, while limited in scope, are much safer than the raw magical power of Wizardry. You start with three spells.",AWoD,1
Strategia,Strategy,"W walce możesz próbować przewidzieć ruchy, pozycje i siły wrogów.","When you are in combat, you can attempt to predict the movements, positions, and strengths of your enemies.",AWoD,1
Przywołanie,Summon,"Możesz wywoływać demony, by zasięgać ich rady... lub by związać je w służbę. Zaczynasz z dwoma związanymi demonami, na które możesz liczyć.",You can call forth demons to seek their counsel...or so you can bind them to serve you. You start with two bound demons that you can call upon.,AWoD,1
Chirurg,Surgeon,"Używając umiejętności Leczenia, możesz próbować sporządzać nowe leki lub wyrwać kogoś z objęć śmierci.","With the Treatment skill, you can try to mix new medicines or bring someone back from the brink of death.",AWoD,1
Utalentowany,Talented,Dodaj +1 Umiejętność.,Add +1 Skill.,AWoD,1
Majsterkowicz,Tinker,"Gdy wyłamujesz zamki lub rozbrajasz pułapki, robisz to szybko i niezauważenie, nawet na widoku.","When you pick locks or disable traps, you can do so quickly and unnoticed while in plain sight.",AWoD,1
Twardziel,Tough,Dodaj +1 do pancerza — jesteś zwyczajnie niezniszczalny.,"Add +1 armor, from being badass.",AWoD,1
Tropiciel,Tracker,"Gdy próbujesz identyfikować i śledzić tropy, robisz to szybko w ruchu.","When you attempt to identify and follow tracks, you can do so quickly while on the move.",AWoD,1
Sztuczka,Trick,Możesz próbować rozpraszać lub zwodzić przeciwnika swoimi wybrykami.,You can attempt to distract or delay your opponent with your antics.,AWoD,1
Odpędzenie,Turn,Możesz próbować powstrzymywać nieumarłych mocą swojej wiary i świętego symbolu.,You can attempt to hold undead at bay with the power of your faith and a holy symbol.,AWoD,1
Gwałtowność,Vehemence,"Gdy używasz niszczycielskich efektów magicznych, dodajesz +1 kość do obrażeń i odrzucasz najniższy wynik.","When you use damaging magic effects, add +1 die to damage, discarding the lowest result.",AWoD,1
Wizja,Vision,"Wypij święconą wodę, by obcować ze swoim bóstwem i otrzymać boskie wskazówki.",Drink holy water to commune with your deity for divine guidance.,AWoD,1
Salwa,Volley,Dodaj +2 obrażeń do każdego ataku dystansowego.,Add +2 damage to any ranged attack.,AWoD,1
Osłonięty,Warded,"Gdy używasz magii, twoje ochronne zaklęcia ochronią cię, dając +1 do Pancerza.","When you are using magic, your protective wards keep you safe, granting +1 Armor.",AWoD,1
Dzikość,Wild,Możesz rozmawiać ze zwierzętami i próbować nimi dowodzić.,You can converse with and attempt to command animals.,AWoD,1
Czarnoksięstwo,Wizardry,"Możesz tworzyć magiczne efekty czerpiąc z surowej mocy Chaosu. Efekty te są potężne i cudowne, nieograniczone zakresem jak Czarodziejstwo. Jednakże ryzyko tkania takich energii kryje hazardy — skrajne i różnorodne. Zaczynasz z wynikiem Mocy równym twoim bazowym Kościom Wytrzymałości +MĄD.","You can create magical effects drawn from the raw power of Chaos. Such effects are powerful and wondrous, and not limited in scope like Sorcery. However, the risks of weaving such energies have hazards, both extreme and varied. You start with a Power score equal to your base Hit Dice +WIS.",AWoD,1
Co u licha?,WTF?,"Otrzymujesz premię do rzutów przeciwko wrogom, którzy jeszcze z tobą nie walczyli. Premia przepada po pierwszej konfrontacji.",You get a bonus to roll against opponents that haven't fought against you. This bonus is lost after the first confrontation.,AWoD,1
