NamePL,NameEN,DescPL,DescEN,Source,Level
Zahartowany,Hardy,Dodaj +6 do swoich punktów życia.,Add +6 to your hit points.,AWoD,1
Ciężkie Dłonie i Stopy,Heavy Hands/Feet,"Zadajesz 1k6 obrażeń bez broni. Na 3., 5., 7. i 9. poziomie zyskujesz dodatkowo +1 obrażenie.","You do 1d6 unarmed damage. On levels 3, 5, 7 and 9, you get an additional +1 damage.",AWoD,1
Łowca,Hunter,"Dodaj +3 obrażenia do ataków dystansowych, jeśli cel nie jest świadomy twojej obecności.",Add +3 damage to ranged attacks when the target is unaware of your presence.,AWoD,1
Iluzje,Illusions,"Możesz tworzyć iluzje, by ktoś zobaczył coś, czego nie ma, albo zahipnotyzować go tak, by uwierzył w coś nieprawdziwego.","You can create illusions to make someone see something that isn't there, or mesmerize them so they believe something that isn't true.",AWoD,1
Natchnienie,Inspire,"Możesz próbować wpływać na opinię publiczną swoją pieśnią, opowieściami lub retoryką.","You can attempt to sway public opinion with your song, stories, or rhetoric.",AWoD,1
Instynkt,Instinct,"Możesz przerzucić test ZRĘ, gdy reagujesz na niebezpieczną sytuację.",You can re-roll DEX when reacting to dangerous situations.,AWoD,1
Lingwista,Linguist,Potrafisz mówić i czytać we wszystkich cywilizowanych językach.,You can speak and read all civilized languages.,AWoD,1
Czujka,Lookout,"Gdy prowadzisz grupę w mieście albo lochu, zawsze dostrzegasz cele, zanim one dostrzegą ciebie.","When you take the lead in the city or a dungeon, you always spot your targets before they spot you.",AWoD,1
Szczęście,Lucky,Raz dziennie możesz zamienić dowolne Pudło w Sukces.,"Once per day, you can turn any Miss into a Success instead.",AWoD,1
Magiczne Punkty Życia,Magic-fueled hit points,Masz dodatkowe punkty życia równe wartości twojej Mocy. Za każde użyte zaklęcie Czarnoksięstwa tracisz 1 albo 2 z tych dodatkowych punktów życia.,"You have additional hit points (as many as your Power score). For each Wizardry spell you use, you lose 1 or 2 of those additional hit points.",AWoD,1
Tarcza Umysłu,Mind Shield,"Jesteś odporny na strach, zauroczenie i zaklęcia snu.","You are immune against fear, charm and sleep spells.",AWoD,1
Oportunista,Opportunist,"Gdy ty i twoi sprzymierzeńcy bierzecie przeciwników górą, zadajesz +2 obrażenia.","When you and your allies overpower your opponents, you inflict +2 damage.",AWoD,1
Uspokojenie,Pacify,Możesz próbować uspokoić lub zauroczyć głosem istoty (pół)inteligentne.,You can attempt to pacify or charm (demi)intelligent creatures with your voice.,AWoD,1
Występ,Perform,"Gdy zabawiasz tłum, możesz zarobić dziennie po 1k6 srebrników za poziom. Jeśli jednak na którejkolwiek kości wypadnie 1, publiczność staje się wroga i przez co najmniej tydzień nie pozwoli ci występować bez obrzucania cię zgniłymi warzywami.","When you entertain a crowd, you can earn d6s per Level each day. However, should any die roll a 1, the audience turns nasty and you won't be allowed to perform for at least a week without having rotten vegetables thrown at you.",AWoD,1
Towarzysz Zwierzęcy,Pet,Masz lojalnego i skutecznego zwierzęcego towarzysza.,You have a loyal and effective animal companion.,AWoD,1
Prestiż,Prestige,"Wszyscy wiedzą, kim jesteś. Koszt najemników spada o połowę, bo szukają służby u ciebie z nadzieją na późniejsze łaski i korzyści.","Everyone knows who you are. Halve the price of any Hirelings, as they seek your employ in order to gain later favors or advantages.",AWoD,1
Refleks,Reflexes,"Zawsze działasz pierwszy i możesz reagować nawet wtedy, gdy ktoś zaskoczy cię znienacka.","You always act first, and can react when suddenly surprised.",AWoD,1
Skalna Skóra,Rockskin,Masz skórę twardą jak skała (Pancerz 2).,You have rock-hard skin (Armor 2).,AWoD,1
Wędrowiec,Rover,"Biegnąc przez dzicz, nie zostawiasz wyraźnych śladów ani tropu.","When you run through the wilderness, you do so without leaving obvious tracks or a trail.",AWoD,1
Żeglarz,Sailor,"Potrafisz obsługiwać żaglowiec i nigdy nie dopada cię choroba morska, nawet na wzburzonym morzu.","You can crew a sailing vessel, and never feel ill due to stormy seas.",AWoD,1
Saper,Sapper,"Używając czarnoprochowych ładunków wybuchowych albo artylerii, dodajesz +1 kość do obrażeń i odrzucasz najniższy wynik.","When using blackpowder explosives or artillery, add +1 die to damage, discarding the lowest result.",AWoD,1
Intrygant,Schemer,"Gdy przekupujesz lub szantażujesz innych, możesz robić to subtelnie albo przez pośredników, nie ściągając na siebie niepożądanej uwagi.","When you bribe or blackmail others, you can do so subtly or through third parties, without drawing too much unwanted attention to yourself.",AWoD,1
Zwiadowca,Scout,"Gdy prowadzisz grupę w dziczy, zawsze dostrzegasz cele, zanim one dostrzegą ciebie.","When you take the lead in the wilderness, you always spot your targets before they spot you.",AWoD,1
Zmiana Kształtu,Shifting,"Gdy wypijesz krew zwierzęcia, możesz próbować przybrać jego postać, zostawiając swój dobytek. Powrót do własnej formy wymaga jednak silnej woli, zwłaszcza im dłużej pozostajesz bestią.","When drinking the blood of an animal you can attempt to take its form, leaving your possessions behind. However, it is a feat of willpower to revert to your original self, particularly the longer you stay a beast.",AWoD,1
Potyczka,Skirmish,"+1 do obrażeń, a noszona przez ciebie zbroja liczy się jak o jeden typ lżejsza.",+1 damage and worn armor counts as one type lighter.,AWoD,1
Pogromca,Slay,+2 obrażenia w walce wręcz.,+2 melee damage.,AWoD,1
Detektyw,Sleuth,"Gdy szukasz wskazówek, robisz to szybko i w ruchu. Zawsze rozpoznasz, kiedy ktoś kłamie, choć możesz nie znać przyczyny oszustwa.","When you search for clues, you can do so quickly and while on the move. You can always tell when someone is lying, though you may not know the cause of their deception.",AWoD,1
Czarodziejstwo,Sorcery,"Możesz rzucać zaklęcia, które choć mają ograniczony zakres, są znacznie bezpieczniejsze niż surowa moc Czarnoksięstwa. Zaczynasz z trzema zaklęciami.","You are able to cast spells that, while limited in scope, are much safer than the raw magical power of Wizardry. You start with three spells.",AWoD,1
Strategia,Strategy,"W walce możesz próbować przewidzieć ruchy, pozycje i siłę swoich wrogów.","When you are in combat, you can attempt to predict the movements, positions, and strengths of your enemies.",AWoD,1
Przywołanie,Summon,"Możesz przyzywać demony, by zasięgać ich rady, albo po to, by związać je i zmusić do służby. Zaczynasz z dwoma związanymi demonami, które możesz przywołać.",You can call forth demons to seek their counsel...or so you can bind them to serve you. You start with two bound demons that you can call upon.,AWoD,1
Chirurg,Surgeon,Dzięki umiejętności Leczenie możesz próbować sporządzać nowe lekarstwa albo wyrwać kogoś z objęć śmierci.,"With the Treatment skill, you can try to mix new medicines or bring someone back from the brink of death.",AWoD,1
Utalentowany,Talented,Zyskujesz +1 Umiejętność.,Add +1 Skill.,AWoD,1
Majsterkowicz,Tinker,"Gdy otwierasz zamki lub rozbrajasz pułapki, możesz robić to szybko i niezauważenie, nawet na oczach innych.","When you pick locks or disable traps, you can do so quickly and unnoticed while in plain sight.",AWoD,1
Twardziel,Tough,Dodaj +1 do Pancerza. Jesteś po prostu wyjątkowo twardy.,"Add +1 armor, from being badass.",AWoD,1
Tropiciel,Tracker,"Gdy próbujesz rozpoznać i podjąć trop, możesz robić to szybko i w ruchu.","When you attempt to identify and follow tracks, you can do so quickly while on the move.",AWoD,1
Sztuczka,Trick,Możesz próbować rozproszyć albo opóźnić przeciwnika swoimi wybiegami.,You can attempt to distract or delay your opponent with your antics.,AWoD,1
Odpędzenie,Turn,Możesz próbować utrzymać nieumarłych na dystans mocą swojej wiary i świętego symbolu.,You can attempt to hold undead at bay with the power of your faith and a holy symbol.,AWoD,1
Gwałtowność,Vehemence,"Gdy używasz efektów magicznych zadających obrażenia, dodajesz +1 kość do obrażeń i odrzucasz najniższy wynik.","When you use damaging magic effects, add +1 die to damage, discarding the lowest result.",AWoD,1
Wizja,Vision,"Wypij wodę święconą, by obcować ze swoim bóstwem i otrzymać boskie wskazówki.",Drink holy water to commune with your deity for divine guidance.,AWoD,1
Salwa,Volley,Dodaj +2 obrażenia do każdego ataku dystansowego.,Add +2 damage to any ranged attack.,AWoD,1
Ochronne Pieczęcie,Warded,"Gdy używasz magii, twoje ochronne pieczęcie strzegą cię, dając +1 Pancerza.","When you are using magic, your protective wards keep you safe, granting +1 Armor.",AWoD,1
Dziki Zew,Wild,Możesz rozmawiać ze zwierzętami i próbować wydawać im polecenia.,You can converse with and attempt to command animals.,AWoD,1
Czarnoksięstwo,Wizardry,"Możesz tworzyć magiczne efekty czerpiące z surowej mocy Chaosu. Są potężne i cudowne, a ich zakres nie jest tak ograniczony jak w Czarodziejstwie. Jednak splatanie takich energii niesie ze sobą skrajne i nieprzewidywalne zagrożenia. Zaczynasz z Mocą równą liczbie bazowych Kości Wytrzymałości + MĄD.","You can create magical effects drawn from the raw power of Chaos. Such effects are powerful and wondrous, and not limited in scope like Sorcery. However, the risks of weaving such energies have hazards, both extreme and varied. You start with a Power score equal to your base Hit Dice +WIS.",AWoD,1
Co To Było?,WTF?,"Otrzymujesz premię do rzutów przeciw przeciwnikom, którzy jeszcze z tobą nie walczyli. Po pierwszej konfrontacji ta premia przepada.",You get a bonus to roll against opponents that haven't fought against you. This bonus is lost after the first confrontation.,AWoD,1
Alchemia,Alchemy,"Możesz połączyć dwa efekty z listy ""Użytkownik będzie..."" w jedną formułę. Koszt przygotowania podwaja się, ale rezultat zapewnia oba efekty naraz. Dodatkowo podczas jednej sesji przygotowań możesz sporządzić dwa oddzielne przedmioty alchemiczne bez podwajania czasu.","You can combine two effects from the ""The user will..."" list into a single formula. The preparation cost doubles, but the result delivers both effects at once. Additionally, you can prepare two separate alchemical items in a single session without needing to double the time.",edr,2
Zamożność,Affluent,"Raz na sesję możesz upomnieć się o dług: wskaż BN-a, który jest ci coś winien, a MG sprawi, że dostarczy ci pieniądze, towary albo znaczącą przysługę. Może nie będzie z tego zadowolony, ale wywiąże się ze zobowiązania.","Once per session, you can call in a debt — name an NPC who owes you and the GM will make them come through with coin, goods, or a significant favor. They may not be happy about it, but they deliver.",edr,2
Urok,Allure,"Osoby, które wcześniej uwiodłeś, odczuwają wobec ciebie trwałą potrzebę opieki. Raz na sesję jeden taki BN sam z siebie stanie w twojej obronie w krytycznej chwili.","Those you have previously seduced feel a lingering protectiveness toward you. Once per session, one such NPC will intervene on your behalf at a critical moment without being asked.",edr,2
Wycena,Appraise,"Twoje oko sięga także tego, co magiczne. Gdy oglądasz magiczny przedmiot, MG musi ujawnić ci jedną z jego właściwości albo mocy.","Your eye extends to the magical. When you examine a magical item, the GM must reveal one of its properties or powers to you.",edr,2
Cios w Plecy,Backstab,"Gdy wykonujesz Cios w plecy i zadasz obrażenia, wybierz dodatkowo jedno: cel nie może wydać dźwięku, upuszcza to, co trzyma, albo natychmiast znikasz z powrotem w cieniu, nim zdoła zareagować.","When you Backstab and deal damage, you also choose one: the target is silenced, the target drops what they are holding, or you immediately melt back into the shadows before they can react.",edr,2
Targowanie,Bargain,"Każde udane targowanie jest zarazem wymianą informacji. Gdy dobijesz targu, możesz zadać kupcowi jedno pytanie o lokalne wydarzenia, rzadkie towary albo ważne osoby w okolicy.","Every successful Bargain doubles as an information exchange. When you close a deal, you may ask the merchant one question about local happenings, rare goods, or notable people nearby.",edr,2
Szał,Berserk,"Gdy w Szale twoje PW spadną do połowy lub niżej, premia do obrażeń rośnie do +2. Wrogowie, którzy widzą twój obłęd bojowy, muszą zawahać się, zanim cię zaatakują.","When your HP drops to half or below while Berserk, your damage bonus increases to +2. Enemies who witness your frenzy must pause before engaging you.",edr,2
Błogosławieństwo,Bless,Możesz pobłogosławić osobę zamiast przedmiotu. Pobłogosławiona osoba zyskuje +1 Pancerza przeciw Złu oraz odporność na strach wzbudzany przez nieumarłych do końca dnia.,You can Bless a person instead of an object. A blessed person gains +1 armor against Evil and immunity to fear from undead for the rest of the day.,edr,2
Krzepa,Brawny,"Gdy przy ataku wręcz lub bronią miotaną wyrzucisz maksymalne obrażenia, cel zostaje powalony albo traci następną akcję na dojście do siebie.","When you roll maximum damage on a melee or thrown attack, the target is knocked prone or loses their next action recovering.",edr,2
Okryty Cieniem,Cloaked,"Dopóki skrywa cię mrok, poruszasz się bezszelestnie bez rzutu, o ile nie podejmujesz agresywnych działań. Wrogowie nie mogą obierać cię za cel ataków dystansowych, chyba że mają nadnaturalne zmysły.","While in darkness, you move silently without a roll, as long as you take no aggressive action. Enemies cannot target you with ranged attacks unless they have supernatural senses.",edr,2
Koneksje,Connected,"Twoja sieć kontaktów sięga środowisk przestępczych, kupieckich i półświatka. Raz na sesję możesz wezwać na pomoc niearystokratyczny kontakt, by wyświadczył ci istotną przysługę.","Your network extends into criminal, mercantile, and underworld circles. Once per session, call on a non-noble contact for a significant favor.",edr,2
Gibkość,Contort,"Nie da się cię przytrzymać, przyszpilić ani obezwładnić niczym słabszym niż magiczne więzy. Potrafisz przecisnąć się przez każdą szczelinę, przez którą przejdzie twoja głowa.","You cannot be held, pinned, or grappled by anything short of magical restraints. You can squeeze through any gap your head fits through.",edr,2
Kieszonkowiec,Cutpurse,"Gdy skutecznie okradniesz kogoś z kieszeni, zyskujesz w głowie pełny katalog wszystkiego, co ta osoba przy sobie nosi, a nie tylko tego, co zabrałeś.","When you successfully pick a pocket, you gain a mental catalogue of everything the target is carrying — not just what you took.",edr,2
Uzdrowienie,Cure,"Twoje Uzdrowienie działa teraz na odległość, nawet do drugiego końca komnaty. Raz dziennie możesz spróbować uleczyć magiczną chorobę albo śmiertelną dolegliwość.","Your Cure now works at range — up to a room away. Once per day, you can attempt to Cure a magical disease or terminal illness.",edr,2
Potępienie,Damnation,"Twoje klątwy są wyjątkowo uporczywe. Każdy, kto próbuje zdjąć twoją klątwę, musi oprócz zwykłych metod przezwyciężyć także wartość twojej MĄD.",Your curses are tenacious. Targets who attempt to remove your curse must overcome your WIS score in addition to normal removal methods.,edr,2
Brawura,Daring,"Twoja Brawura obejmuje teraz także magiczne zagrożenia i nadnaturalne efekty. Gdy uda ci się coś, co inni uznali za niemożliwe, jeden sojusznik, który to widział, zyskuje premię do następnego rzutu.","Your Daring now covers magical hazards and supernatural effects. When you succeed at something others declared impossible, one ally who witnessed it gains a bonus to their next roll.",edr,2
Dyplomata,Diplomat,"Układy, które wynegocjujesz, trzymają się mocno: BN-e nie wycofają się z nich, chyba że zostaną poważnie sprowokowani. Potrafisz negocjować także z istotami, które nie znają twojego języka, za pomocą gestów i tonu głosu.",Agreements you broker hold firm — NPCs won't renege unless significantly provoked. You can negotiate with creatures who don't share your language through gesture and tone.,edr,2
Przebranie,Disguise,"Możesz utrzymywać przebranie bez wysiłku przez dowolnie długi czas. Potrafisz też wiarygodnie zmienić głos, by oszukać nawet tych, którzy znają osobę, pod którą się podszywasz.",You can maintain a disguise indefinitely without effort. You can alter your voice convincingly enough to fool people who know the person you're imitating.,edr,2
Wróżbiarstwo,Divination,"Raz dziennie, bez żadnych rekwizytów, możesz zadać MG jedno pytanie, na które da się odpowiedzieć tak lub nie, dotyczące najbliższej przyszłości (w ciągu następnej godziny). Odpowiedź jest szczera, choć czasem niejasna.","Once per day, without any prop, you may ask the GM one yes/no question about the immediate future (within the next hour). The answer is honest, if sometimes cryptic.",edr,2
Szermierz,Duelist,"Gdy walczysz Lekką bronią i masz pustą drugą rękę, otrzymujesz +1 do rzutów na atak. Gdy wróg cię chybi, możesz natychmiast wyprowadzić kontrę za połowę obrażeń.","When wielding a Light weapon with your off-hand empty, add +1 to attack rolls. When an enemy misses you, you may immediately strike back for half damage.",edr,2
Inżynier,Engineer,"W kilka minut potrafisz sklecić z rupieci działające urządzenie mechaniczne. Raz na sesję zbudowany przez ciebie sprzęt może zadziałać jako improwizowany ładunek wybuchowy (1k6+2 obrażeń, mały obszar).","You can jury-rig a working mechanical device from scrap in minutes. Once per session, a device you built functions as an improvised explosive (d6+2 damage, small area).",edr,2
Ekspert,Expert,"Możesz użyć Eksperta dwa razy dziennie. Gdy z niego korzystasz, przekonujące uzasadnienie może przynieść dodatkową korzyść fabularną.","You can use Expert twice per day. When you invoke it, a compelling explanation may earn an additional narrative benefit.",edr,2
Chowaniec,Familiar,"Możesz mówić ustami swojego Chowańca. Jeśli Chowaniec zginie, po dniu rytuałów możesz związać się z nowym.","You can speak through your Familiar's mouth. If your Familiar is killed, you can bond with a new one after a day of ritual.",edr,2
Magia Kontaktowa,Full-contact magic,"Możesz utrzymać naładowane zaklęcie w dłoni przez minutę i przekazać je następnej istocie, której dotkniesz.","You can hold a charged spell in your hand for up to one minute, delivering it to the next creature you touch.",edr,2
Gadżeciarstwo,Gadgetry,"Twoje gadżety mają dwa ładunki, zanim się zepsują. Urządzenia odtwarzające zaklęcia Czarodziejstwa, których używa się codziennie, mogą być użyte raz więcej każdego dnia.",Your gadgets have two charges before breaking down. Your daily-use Sorcery-replicating devices may be used one additional time per day.,edr,2
Ucieczka,Getaway,"Gdy korzystasz z Ucieczki, możesz zabrać ze sobą jednego chętnego sojusznika. Zawsze znasz najszybszą drogę wyjścia z każdego miejsca, w którym przebywasz dłużej niż minutę.","When you use Getaway, you can bring one willing ally with you. You always know the fastest exit from any location you've been in for more than a minute.",edr,2
Osłona,Guarded,"Najemnicy, na których przekierowujesz atak, otrzymują tylko połowę obrażeń. Możesz użyć Osłony dwa razy dziennie.",Redirected Hirelings take half damage. You can use Guarded twice per day.,edr,2
Zahartowany,Hardy,"Zyskujesz dodatkowe +4 PW (łącznie +10 z Zahartowania). Gdy spadniesz do 0 PW, rzuć +KON: przy 7+ pozostajesz przy 1 PW zamiast paść.","Gain an additional +4 HP (total +10 from Hardy). When reduced to 0 HP, roll +CON — on a 7+, you drop to 1 HP instead.",edr,2
Ciężkie Dłonie i Stopy,Heavy Hands/Feet,"Twoje ataki bez broni są magiczne, więc działają także na istoty odporne na niemagiczne obrażenia. Trafienie tego samego celu dwa razy w jednej turze oszałamia go: w następnej rundzie działa jako ostatni.",Your unarmed strikes are magical — they affect creatures resistant to non-magical damage. Hitting the same target twice in one turn staggers them: they act last next round.,edr,2
Łowca,Hunter,"Gdy strzelasz z ukrycia i trafiasz, pozostajesz niewykryty: wrogowie nie namierzają cię od razu. Możesz oddać jeszcze jeden strzał z tej samej pozycji, zanim będziesz musiał się przemieścić.","When you fire from hiding and hit, you remain hidden — enemies don't immediately locate you. You may fire once more from the same position before needing to move.",edr,2
Iluzje,Illusions,"Twoje iluzje obejmują także przekonujący dźwięk. Cele, które nie przejrzą oszustwa, pozostają pod jego wpływem jeszcze przez jedną rundę po tym, jak przestaniesz się koncentrować.",Your illusions include convincing sound. Targets that fail to see through them remain affected for one round after you stop concentrating.,edr,2
Natchnienie,Inspire,"Potrafisz skierować tłum ku konkretnemu działaniu, a nie tylko wpłynąć na jego opinię. MG powie ci, co byłoby potrzebne, by popchnąć go za daleko.",You can direct a crowd toward a specific action — not just opinion but behavior. The GM will tell you what it would take to push them too far.,edr,2
Instynkt,Instinct,Dwa razy na scenę możesz przerzucić ZRĘ i zachować lepszy wynik. Zasadzka nigdy nie łapie cię kompletnie nieprzygotowanego.,You can re-roll DEX twice per scene and keep the better result. You are never caught flat-footed by an ambush.,edr,2
Lingwista,Linguist,"Jeśli masz dość czasu, potrafisz rozszyfrować języki pradawne, wymarłe albo potworne. Natychmiast wyczuwasz też, gdy ktoś mówi szyfrem albo ukrywa drugie dno wypowiedzi.","You can decode ancient, extinct, or monstrous languages given enough time. You notice immediately when someone is speaking in cipher or concealed subtext.",edr,2
Czujka,Lookout,"Gdy dostrzeżesz wroga, zanim on dostrzeże was, po cichu ostrzegasz wszystkich sojuszników: każdy z was działa pierwszy w nadchodzącym starciu.","When you spot an enemy before they spot you, you silently warn all allies — everyone acts first in the ensuing encounter.",edr,2
Szczęście,Lucky,"Raz na sesję możesz użyć Szczęścia w imieniu dowolnego widocznego sojusznika, zamieniając jego Pudło w Sukces.","Once per session, you can use Lucky on behalf of any ally you can see, turning their Miss into a Success.",edr,2
Magiczne Punkty Życia,Magic-fueled hit points,"Gdy wyczerpią się Magiczne Punkty Życia, możesz zasilać zaklęcia Czarnoksięstwa zwykłymi PW w proporcji 2:1.","When magic-fueled HP are depleted, you can fuel Wizardry spells by spending regular HP at a 2:1 ratio.",edr,2
Tarcza Umysłu,Mind Shield,Raz dziennie możesz rozciągnąć Tarczę Umysłu na jednego pobliskiego sojusznika na całą scenę.,"Once per day, you can extend Mind Shield to one nearby ally for a full scene.",edr,2
Oportunista,Opportunist,"Gdy trafisz przeciwnika już związanego walką, ma utrudnienie do swojej następnej akcji wymierzonej w kogokolwiek poza tobą.","When you hit an already-engaged foe, they have disadvantage on their next action against anyone other than you.",edr,2
Uspokojenie,Pacify,"Istoty, które uspokoiłeś, przez kilka dni zachowują wobec ciebie przychylne nastawienie.",Creatures you have Pacified remain favorably disposed toward you for days.,edr,2
Występ,Perform,"Wyrzucona 1 powoduje teraz tylko niezręczność, a nie wrogość tłumu. Każda kość z wynikiem 4+ przyciąga patrona albo ważnego wielbiciela.","A rolled 1 now causes minor awkwardness, not hostility. All dice showing 4+ attracts a patron or important admirer.",edr,2
Towarzysz Zwierzęcy,Pet,"Twój towarzysz potrafi wykonać złożone, wieloetapowe polecenia pod twoją nieobecność i wrócić z sygnałem o tym, co znalazł.",Your companion can follow complex multi-step instructions without you present and return with a signal about what it found.,edr,2
