The campgrounds,The reporter,The circus,A local institution,The cafe is a front,Friends,Firefighter,I joined a gang,Boxing,I have burn scars,I keep a well stocked armory,The mob is after me,I'm a local celebrity,I've made one big enemy,I can tell fortunes,I'm discriminated against,My beloved child,I'm a great actor,I make friends easily
The drive in movie theater,The creep who follows people,The new film crew,Cleanliness,The town has a hidden history,Best friends,Soldier,I'm in with a bad crowd,Racing,I have a bum leg,I collect strange antiques,A rival gang is after me,I have a fanbase,I took the fall for someone else,I conduct seances,I don't speak the local language,My troublemaking cousin,I have a voice like an angel,I trust everyone
The library,The private eye,A visiting band,A local business,There are underground tunnels,Married,Sailor,My family is criminals,True crime,I'm missing a hand,I collect weird knick knocks,My old gang is after me,I can always ask for favors,I can't stand the sight of blood,I have visions,I get tired easily,My friend who's up for anything,I have a winning smile,I trust no one
The playhouse,The police chief,Tourists,Out of towners,There's a creature in the sewers,Exes,Assassin,I hired some bad dudes,Hunting,I'm missing an eye,I have antique arms and armor,I'm wanted by the cops,People around town know me,I vomit easily,I can imitate voices,I can't sit still,My friend who's the cautious one,My puppy dog eyes,I don't respect boundaries
Makeout point,The 'Tough Guy',The fishers,Conserving the old ways,There's a party in the quarry,We look really similar,Shaman,I'm gullible,Astronomy,I cast a curse and it backfired,I own this weird book,Agoraphobia,I'm picking up a new skill,I get off on the wrong foot a lot,I'm actually empathetic,I never learned to drive,My believing therapist,I'm the bar darts champ,I respect authority
The mall,The town gossip,The brewery,A movie filmed here ages ago,Someone skipped town,Collaborating on a book,Martial artist,Someone cursed me,Modern medicine,Someone cursed me,I collect strange art,Claustrophobia,I can stay up for days,I have an obvious addiction,I have eyes in the back of my head,I need an assistive device,My forgiving priest,I'm captain of the chess team,I don't respect authority
The cafe,The star athlete,The 'bad' neighborhood,The film they're shooting here,A weird nursery rhyme,Members of the same religion,Medium,The guilt is killing me,Archaeology,I have a bad fortune,I have some great toys,Fear of doctors,I can be intimidating,I 'don't' have an addiction,I notice small details,I can't read,My listening barkeep,I'm valedictorian,I don't answer questions
Main street,The con artist,The dockworkers,Gossip,A new game is all the rage,Members of the same gang,Witch,I don't have a conscience,Anthropology,I have bad luck,I have a private bodyguard,Fear of books,I'm hot as hell,I can't stop myself,I can always spot patterns,I don't know how to swim,My wise librarian,I'm a great gardener,I ask a lot of questions
The riverwalk,The beggar,Itinerant workers,Some new social fad,A new drug is addicting folks,Next door neighbors,Yoga instructor,I'm afraid of failure,Modern languages,Bad omens follow me,I have amazing jewelry,Fear of blood,My harvest is gonna be great,I'm scared to start things,I have an eidetic memory,I'm a terrible runner,My nosy neighbor,I read several books a week,I'm very talkative
The antiques shop,The radio DJ,Farmers,Parties,People are disappearing,On the same sports team,Dancer,I self-sabotage,Entomology,I misread situations,I have a little of everything,I live in fear of whoever it was,My pet is a champion,I misinterpret things,I have perfect pitch,I get exhausted easily,My drug dealer,My stamp collection,I hate to talk
The cliffs,The bully,The homeless,A specific style of music,The harvest is gonna be bad,Subject to the same bigotry,Camp counselor,I crushed a rival's business,Horror movies,I've cheated to get where I am,I'm supremely well dressed,Overconfident,I'm an expert driver,I'm a werewolf,I'm really involved in a subculture,I get sick easily,My parents are rich,I like to help people,Hubris
The hanging tree,The scientist,The hippie compound,A new dance,Some kids have gone missing,Survived the same tragedy,Pilot,I stole an invention,The law,I helped cover up a crime,I have a pickup,Underconfident,I can SCUBA dive,I've developed a taste for blood,I have friends in high places,I can't hold my liquor,My dad is the sheriff,I notice things,I'm extroverted
The barrens,The outcast,Immigrants,An artform,A holiday might be cancelled,Former members of the same cult,Own a gas station,I embezzled from my job,Butchery,I owe a big favor,I have a sports car,Anxious,I can fly a plane,I need to eat... something,I have friends in low places,I have bad eyesight,My mom is the mayor,I overhear things,I'm introverted
The swamp,The cult leader,Gentrifiers,Winning a contest,There was a bomb threat!,Former members of the same gang,Beggar,I threatened a rival,Cooking,I owe a lot of small favors,I have a drone,Braggart,I can fly a helicopter,I have strange desires,I'm a celebrity in disguise,I'm hard of hearing,My uncle is the dean,I have a good reputation,I love violence
The woods,The last living hippie,A local gang,Murders from 40 years ago,The big game is rigged,Have the same enemy,Taxi driver,I killed a rival,Living off the land,I have an addiction,I have an amazing camera,Confrontational,I can ride a bicycle,I have an unusual addiction,I used to be famous,I have tinnitus,My aunt owns a local company,People trust me,People feel sorry for me
The desert,The game designer,Rowdy drunks,Nothing. It's so boring here,A killer will be released soon,Have the same patron,Actor,I'm always lying,Parkour,I can't stop myself when I'm mad,I have a lot of equipment,Curiosity killed the cat,I can ride a motorcycle,I can't stand still,People forget my face,I don't have a sense of smell,My criminal cousin,People instinctively like me,I solve everyone's problems
